0001234Taylor SwMidnights            20221021  Pop       
0002456Ed SheeranSubtract              20230505  Pop       
0003789BeyonceRenaissance         20220729  R&B       
0004321Harry StylHarry's House       20220520  Pop       
0005678Bad BunnyUn Verano Sin Ti    20220506  Latin     
0006543Adele   30                  20211119  Pop       
0007890The WeekAfter Hours          20200320  R&B       
0008765Billie EiHappier Than Ever   20210730  Pop       
0009012Dua Lipa Future Nostalgia    20200327  Pop       
0010234Olivia RoSour                20210521  Pop       
0011456Post MaloHollywood's Bleeding20190906  Hip-Hop   
0012789Travis ScAstroworld           20180803  Hip-Hop   
0013654Drake   Certified Lover Boy 20210903  Hip-Hop   
0014321Ariana GrPositions            20201030  Pop       
0015678Kanye WestDonda               20210829  Hip-Hop   
